                  创业板50 (159949)
      时间	    开盘	    最高	    最低	    收盘	         成交量	  MA2.MA1   	  MA2.MA2   	  MA2.MA3   	  MA2.MA4   	  MA2.MA5   	  MA2.MA6   	  MA2.MA7   	  MA2.MA8   	  MA2.MA9   	  MA2.MA10  	火焰主力建仓.MSD   	火焰主力建仓.风险区	火焰主力建仓.安全区	火焰主力建仓.天线  	火焰主力建仓.强弱线	火焰主力建仓.趋势值	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.火焰山	火焰主力建仓.火焰  	火焰主力建仓.今量  	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	
 2016/07/22	   0.992	   0.997	   0.980	   0.987	      152786640	           	           	           	           	           	           	           	           	           	           	     41.176	     80.000	     20.000	    100.000	     50.000	     45.588	      0.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2016/07/25	   0.985	   0.991	   0.976	   0.978	       57524376	           	           	           	           	           	           	           	           	           	           	     25.350	     80.000	     20.000	    100.000	     50.000	     44.860	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2016/07/26	   0.978	   0.996	   0.978	   0.995	       65106372	           	           	           	           	           	           	           	           	           	           	     57.913	     80.000	     20.000	    100.000	     50.000	     44.081	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2016/07/27	   0.997	   0.999	   0.931	   0.940	       85506944	           	           	           	           	           	           	           	           	           	           	     35.574	     80.000	     20.000	    100.000	     50.000	     45.201	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2016/07/28	   0.940	   0.946	   0.916	   0.933	       30032572	      0.967	           	           	           	           	           	           	           	           	           	     28.028	     80.000	     20.000	    100.000	     50.000	     43.836	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2016/07/29	   0.933	   0.937	   0.920	   0.925	        9330099	      0.954	           	           	           	           	           	           	           	           	           	     19.436	     80.000	     20.000	    100.000	     50.000	     40.906	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2016/08/01	   0.910	   0.921	   0.895	   0.912	       14552563	      0.941	           	           	           	           	           	           	           	           	           	     17.891	     80.000	     20.000	    100.000	     50.000	     37.454	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2016/08/02	   0.909	   0.921	   0.908	   0.921	        3388317	      0.926	           	           	           	           	           	           	           	           	           	     21.445	     80.000	     20.000	    100.000	     50.000	     34.510	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2016/08/03	   0.920	   0.921	   0.910	   0.915	        3812642	      0.921	           	           	           	           	           	           	           	           	           	     20.338	     80.000	     20.000	    100.000	     50.000	     32.389	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2016/08/04	   0.919	   0.930	   0.912	   0.926	        9673196	      0.920	      0.943	           	           	           	           	           	           	           	           	     25.073	     80.000	     20.000	    100.000	     50.000	     30.805	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2016/08/05	   0.922	   0.928	   0.913	   0.916	        4798793	      0.918	      0.936	           	           	           	           	           	           	           	           	     22.633	     80.000	     20.000	    100.000	     50.000	     29.868	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2016/08/08	   0.915	   0.924	   0.905	   0.924	        4671584	      0.920	      0.931	           	           	           	           	           	           	           	           	     25.259	     80.000	     20.000	    100.000	     50.000	     28.915	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2016/08/09	   0.924	   0.935	   0.921	   0.933	        5904410	      0.923	      0.924	           	           	           	           	           	           	           	           	     30.899	     80.000	     20.000	    100.000	     50.000	     28.453	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
