                  创业板50 (399673)
      时间	    开盘	    最高	    最低	    收盘	         成交量	  MA2.MA1   	  MA2.MA2   	  MA2.MA3   	  MA2.MA4   	  MA2.MA5   	  MA2.MA6   	  MA2.MA7   	  MA2.MA8   	  MA2.MA9   	  MA2.MA10  	  AMO.AMOW  	  AMO.AMO1  	  AMO.AMO2  	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2010/06/08	 1092.49	 1103.70	 1074.67	 1092.21	        1470343	           	           	           	           	           	           	           	           	           	           	  450439.16	           	           	       0.00	       0.00	       0.00	
 2010/06/09	 1100.01	 1129.82	 1089.26	 1101.01	        1793596	           	           	           	           	           	           	           	           	           	           	  594899.44	           	           	       0.70	       0.14	       1.12	
 2010/06/10	 1098.99	 1144.80	 1098.99	 1143.49	        1568651	           	           	           	           	           	           	           	           	           	           	  520574.56	           	           	       4.63	       1.04	       7.19	
 2010/06/11	 1149.84	 1150.29	 1139.43	 1143.91	        1513531	           	           	           	           	           	           	           	           	           	           	  522016.00	           	           	       7.69	       2.37	      10.65	
 2010/06/17	 1150.55	 1150.55	 1085.45	 1085.45	        1122955	    1113.21	           	           	           	           	           	           	           	           	           	  396928.78	  496971.59	           	       5.34	       2.96	       4.75	
 2010/06/18	 1065.45	 1070.13	 1009.28	 1016.81	        1132883	    1098.13	           	           	           	           	           	           	           	           	           	  368023.25	  480488.41	           	      -2.04	       1.96	      -8.01	
 2010/06/21	 1006.43	 1060.76	  987.98	 1056.54	        1067681	    1089.24	           	           	           	           	           	           	           	           	           	  343163.41	  430141.19	           	      -4.63	       0.64	     -10.55	
 2010/06/22	 1049.49	 1074.30	 1047.50	 1048.20	         941781	    1070.18	           	           	           	           	           	           	           	           	           	  304233.44	  386872.97	           	      -7.27	      -0.94	     -12.67	
 2010/06/23	 1037.95	 1070.84	 1037.78	 1060.69	         808821	    1053.54	           	           	           	           	           	           	           	           	           	  267602.91	  335990.34	           	      -8.26	      -2.40	     -11.72	
 2010/06/24	 1061.09	 1071.72	 1052.48	 1062.77	         694021	    1049.00	    1081.11	           	           	           	           	           	           	           	           	  227136.89	  302031.97	  399501.78	      -8.78	      -3.68	     -10.20	
 2010/06/25	 1052.42	 1057.07	 1009.09	 1028.94	         869401	    1051.43	    1074.78	           	           	           	           	           	           	           	           	  275440.41	  283515.41	  382001.91	     -11.78	      -5.30	     -12.96	
 2010/06/28	 1019.68	 1027.45	  995.54	  999.89	         578164	    1040.10	    1064.67	           	           	           	           	           	           	           	           	  191127.20	  253108.17	  341624.69	     -16.32	      -7.50	     -17.63	
 2010/06/29	 1001.60	 1004.52	  924.07	  924.58	         966755	    1015.37	    1042.78	           	           	           	           	           	           	           	           	  297995.13	  251860.50	  319366.75	     -25.69	     -11.14	     -29.10	
 2010/06/30	  908.73	  940.88	  892.48	  938.31	         852561	     990.90	    1022.22	           	           	           	           	           	           	           	           	  234497.53	  245239.44	  290614.91	     -31.65	     -15.24	     -32.81	
 2010/07/01	  930.87	  939.51	  897.67	  897.84	         735682	     957.91	    1003.46	           	           	           	           	           	           	           	           	  244610.84	  248734.22	  275383.09	     -39.18	     -20.03	     -38.31	
 2010/07/02	  894.53	  900.27	  844.75	  887.62	         913676	     929.65	     990.54	           	           	           	           	           	           	           	           	  285428.19	  250731.78	  267123.59	     -45.46	     -25.12	     -40.68	
 2010/07/05	  863.32	  882.62	  853.62	  873.17	         646893	     904.30	     972.20	           	           	           	           	           	           	           	           	  192498.30	  251006.00	  252057.08	     -51.01	     -30.29	     -41.42	
 2010/07/06	  868.09	  912.95	  868.09	  909.08	         834140	     901.20	     958.29	           	           	           	           	           	           	           	           	  259814.91	  243369.95	  247615.23	     -51.91	     -34.62	     -34.58	
 2010/07/07	  912.81	  925.83	  907.34	  925.83	         768327	     898.71	     944.80	           	           	           	           	           	           	           	           	  234917.97	  243454.05	  244346.73	     -50.69	     -37.83	     -25.71	
 2010/07/08	  931.86	  931.86	  902.14	  919.05	         808666	     902.95	     930.43	    1005.77	           	           	           	           	           	           	           	  264104.59	  247352.80	  248043.50	     -49.69	     -40.20	     -18.98	
 2010/07/09	  917.77	  951.12	  909.34	  946.96	         956139	     914.82	     922.23	     998.51	           	           	           	           	           	           	           	  306550.34	  251577.22	  251154.50	     -46.12	     -41.39	      -9.47	
 2010/07/12	  946.06	  956.53	  938.03	  945.81	         877961	     929.35	     916.83	     990.75	           	           	           	           	           	           	           	  283754.66	  269828.50	  260417.25	     -42.89	     -41.69	      -2.40	
 2010/07/13	  933.10	  956.42	  922.93	  950.21	        1057706	     937.57	     919.39	     981.08	           	           	           	           	           	           	           	  324777.94	  282821.09	  263095.53	     -39.52	     -41.25	       3.47	
 2010/07/14	  949.95	  957.39	  933.48	  940.36	        1017941	     940.48	     919.59	     970.91	           	           	           	           	           	           	           	  328537.41	  301545.00	  272499.50	     -37.21	     -40.44	       6.47	
 2010/07/15	  934.43	  944.99	  906.10	  906.10	         802493	     937.89	     920.42	     961.94	           	           	           	           	           	           	           	  248787.53	  298481.56	  272917.19	     -37.71	     -39.90	       4.37	
 2010/07/16	  895.23	  909.07	  881.88	  905.71	         701203	     929.64	     922.23	     956.38	           	           	           	           	           	           	           	  213684.09	  279908.31	  265742.78	     -37.71	     -39.46	       3.51	
 2010/07/19	  890.89	  925.15	  890.89	  923.06	         670802	     925.09	     927.22	     949.71	           	           	           	           	           	           	           	  205942.77	  264345.94	  267087.22	     -35.89	     -38.75	       5.71	
 2010/07/20	  925.36	  953.39	  925.32	  952.55	         934751	     925.56	     931.56	     944.93	           	           	           	           	           	           	           	  295926.66	  258575.69	  270698.41	     -31.70	     -37.34	      11.27	
 2010/07/21	  956.67	  973.15	  952.49	  955.21	        1097932	     928.53	     934.50	     939.65	           	           	           	           	           	           	           	  383335.16	  269535.25	  285540.13	     -27.85	     -35.44	      15.18	
 2010/07/22	  950.29	  965.31	  944.83	  965.31	         857343	     940.37	     939.13	     934.78	           	           	           	           	           	           	           	  281944.22	  276166.56	  287324.06	     -23.71	     -33.09	      18.77	
 2010/07/23	  968.51	  981.19	  963.98	  976.75	        1154531	     954.58	     942.11	     932.17	           	           	           	           	           	           	           	  350273.47	  303484.44	  291696.38	     -19.28	     -30.33	      22.10	
 2010/07/26	  981.38	  983.48	  969.79	  981.87	         965711	     966.34	     945.71	     931.27	           	           	           	           	           	           	           	  294005.44	  321097.00	  292721.47	     -15.18	     -27.30	      24.24	
 2010/07/27	  976.35	  985.92	  972.35	  973.16	         914809	     970.46	     948.01	     933.70	           	           	           	           	           	           	           	  297989.75	  321509.59	  290042.66	     -12.50	     -24.34	      23.69	
 2010/07/28	  969.56	  988.72	  969.56	  988.72	         999089	     977.16	     952.84	     936.22	           	           	           	           	           	           	           	  320607.19	  308964.00	  289249.63	      -9.01	     -21.27	      24.54	
 2010/07/29	  992.44	  997.07	  980.09	  989.38	        1160258	     981.98	     961.17	     940.80	           	           	           	           	           	           	           	  374325.53	  327440.28	  301803.44	      -6.12	     -18.24	      24.25	
