                  300ETF (510300)
      时间	    开盘	    最高	    最低	    收盘	         成交量	  MA2.MA1   	  MA2.MA2   	  MA2.MA3   	  MA2.MA4   	  MA2.MA5   	  MA2.MA6   	  MA2.MA7   	  MA2.MA8   	  MA2.MA9   	  MA2.MA10  	火焰主力建仓.MSD   	火焰主力建仓.风险区	火焰主力建仓.安全区	火焰主力建仓.天线  	火焰主力建仓.强弱线	火焰主力建仓.趋势值	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.火焰山	火焰主力建仓.火焰  	火焰主力建仓.今量  	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	
 2012/05/28	   2.162	   2.218	   2.155	   2.215	     1277518720	           	           	           	           	           	           	           	           	           	           	     95.238	     80.000	     20.000	    100.000	     50.000	     72.619	      0.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2012/05/29	   2.213	   2.272	   2.213	   2.255	      714948992	           	           	           	           	           	           	           	           	           	           	     90.354	     80.000	     20.000	    100.000	     50.000	     72.857	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2012/05/30	   2.253	   2.258	   2.244	   2.247	      265887200	           	           	           	           	           	           	           	           	           	           	     84.493	     80.000	     20.000	    100.000	     50.000	     73.624	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2012/05/31	   2.232	   2.256	   2.224	   2.241	      178155984	           	           	           	           	           	           	           	           	           	           	     78.999	     80.000	     20.000	    100.000	     50.000	     74.253	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2012/06/01	   2.240	   2.271	   2.231	   2.241	      179350032	      2.240	           	           	           	           	           	           	           	           	           	     76.251	     80.000	     20.000	    100.000	     50.000	     74.470	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2012/06/04	   2.212	   2.215	   2.166	   2.169	      546074240	      2.231	           	           	           	           	           	           	           	           	           	     44.109	     80.000	     20.000	    100.000	     50.000	     73.051	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2012/06/05	   2.173	   2.183	   2.167	   2.172	      127167496	      2.214	           	           	           	           	           	           	           	           	           	     29.319	     80.000	     20.000	    100.000	     50.000	     67.533	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2012/06/06	   2.174	   2.185	   2.159	   2.170	      136922720	      2.199	           	           	           	           	           	           	           	           	           	     21.070	     80.000	     20.000	    100.000	     50.000	     60.963	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2012/06/07	   2.189	   2.194	   2.147	   2.154	      336424032	      2.181	           	           	           	           	           	           	           	           	           	     13.335	     80.000	     20.000	    100.000	     50.000	     54.536	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2012/06/08	   2.169	   2.171	   2.141	   2.145	      210182208	      2.162	      2.201	           	           	           	           	           	           	           	           	      8.194	     80.000	     20.000	    100.000	     50.000	     48.511	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2012/06/11	   2.154	   2.188	   2.147	   2.175	      225455584	      2.163	      2.197	           	           	           	           	           	           	           	           	     17.074	     80.000	     20.000	    100.000	     50.000	     43.362	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2012/06/12	   2.161	   2.173	   2.149	   2.159	      157723728	      2.161	      2.187	           	           	           	           	           	           	           	           	     15.407	     80.000	     20.000	    100.000	     50.000	     39.688	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2012/06/13	   2.171	   2.199	   2.161	   2.196	      188133568	      2.166	      2.182	           	           	           	           	           	           	           	           	     28.696	     80.000	     20.000	    100.000	     50.000	     36.918	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2012/06/14	   2.191	   2.209	   2.182	   2.185	      152554656	      2.172	      2.177	           	           	           	           	           	           	           	           	     31.142	     80.000	     20.000	    100.000	     50.000	     36.082	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2012/06/15	   2.193	   2.205	   2.168	   2.195	      159835264	      2.182	      2.172	           	           	           	           	           	           	           	           	     36.182	     80.000	     20.000	    100.000	     50.000	     35.999	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2012/06/18	   2.200	   2.219	   2.199	   2.203	      132126536	      2.188	      2.175	           	           	           	           	           	           	           	           	     41.755	     80.000	     20.000	    100.000	     50.000	     36.533	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2012/06/19	   2.201	   2.201	   2.183	   2.184	      105011688	      2.193	      2.177	           	           	           	           	           	           	           	           	     37.290	     80.000	     20.000	    100.000	     50.000	     37.496	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2012/06/20	   2.191	   2.198	   2.181	   2.181	      119277368	      2.190	      2.178	           	           	           	           	           	           	           	           	     33.912	     80.000	     20.000	    100.000	     50.000	     37.550	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
