                  HS300ETF (510310)
      时间	    开盘	    最高	    最低	    收盘	         成交量	  MA2.MA1   	  MA2.MA2   	  MA2.MA3   	  MA2.MA4   	  MA2.MA5   	  MA2.MA6   	  MA2.MA7   	  MA2.MA8   	  MA2.MA9   	  MA2.MA10  	火焰主力建仓.MSD   	火焰主力建仓.风险区	火焰主力建仓.安全区	火焰主力建仓.天线  	火焰主力建仓.强弱线	火焰主力建仓.趋势值	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.火焰山	火焰主力建仓.火焰  	火焰主力建仓.今量  	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	
 2013/03/25	   1.017	   1.021	   1.007	   1.014	      296973696	           	           	           	           	           	           	           	           	           	           	     50.000	     80.000	     20.000	    100.000	     50.000	     50.000	      0.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2013/03/26	   1.010	   1.011	   0.988	   0.998	      123568872	           	           	           	           	           	           	           	           	           	           	     40.152	     80.000	     20.000	    100.000	     50.000	     49.448	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2013/03/27	   0.998	   1.014	   0.997	   1.002	      116624672	           	           	           	           	           	           	           	           	           	           	     41.288	     80.000	     20.000	    100.000	     50.000	     48.164	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2013/03/28	   0.995	   0.995	   0.967	   0.971	       37692488	           	           	           	           	           	           	           	           	           	           	     24.348	     80.000	     20.000	    100.000	     50.000	     46.770	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2013/03/29	   0.972	   0.975	   0.963	   0.969	      114551104	      0.991	           	           	           	           	           	           	           	           	           	     17.346	     80.000	     20.000	    100.000	     50.000	     43.304	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2013/04/01	   0.965	   0.973	   0.961	   0.970	       43745004	      0.982	           	           	           	           	           	           	           	           	           	     16.173	     80.000	     20.000	    100.000	     50.000	     39.244	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2013/04/02	   0.968	   0.981	   0.963	   0.966	       19657588	      0.976	           	           	           	           	           	           	           	           	           	     12.253	     80.000	     20.000	    100.000	     50.000	     35.563	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2013/04/03	   0.966	   0.974	   0.962	   0.963	       10851529	      0.968	           	           	           	           	           	           	           	           	           	      7.793	     80.000	     20.000	    100.000	     50.000	     32.209	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2013/04/08	   0.957	   0.961	   0.927	   0.960	        9201780	      0.966	           	           	           	           	           	           	           	           	           	     21.450	     80.000	     20.000	    100.000	     50.000	     29.503	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2013/04/09	   0.960	   0.974	   0.960	   0.967	       15859722	      0.965	      0.978	           	           	           	           	           	           	           	           	     32.001	     80.000	     20.000	    100.000	     50.000	     28.959	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2013/04/10	   0.962	   0.970	   0.960	   0.966	        3507635	      0.964	      0.973	           	           	           	           	           	           	           	           	     36.745	     80.000	     20.000	    100.000	     50.000	     30.048	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2013/04/11	   0.964	   0.975	   0.961	   0.962	        6159738	      0.964	      0.970	           	           	           	           	           	           	           	           	     36.990	     80.000	     20.000	    100.000	     50.000	     31.381	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2013/04/12	   0.957	   0.967	   0.954	   0.956	        5533555	      0.962	      0.965	           	           	           	           	           	           	           	           	     33.920	     80.000	     20.000	    100.000	     50.000	     32.396	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2013/04/15	   0.954	   0.954	   0.942	   0.948	        1639273	      0.960	      0.963	           	           	           	           	           	           	           	           	     28.130	     80.000	     20.000	    100.000	     50.000	     32.421	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2013/04/16	   0.940	   0.957	   0.937	   0.954	        3126986	      0.957	      0.961	           	           	           	           	           	           	           	           	     28.427	     80.000	     20.000	    100.000	     50.000	     31.552	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2013/04/17	   0.954	   0.956	   0.946	   0.956	        2894086	      0.955	      0.960	           	           	           	           	           	           	           	           	     29.639	     80.000	     20.000	    100.000	     50.000	     30.781	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
