                  ZZ500ETF (510580)
      时间	    开盘	    最高	    最低	    收盘	         成交量	  MA2.MA1   	  MA2.MA2   	  MA2.MA3   	  MA2.MA4   	  MA2.MA5   	  MA2.MA6   	  MA2.MA7   	  MA2.MA8   	  MA2.MA9   	  MA2.MA10  	火焰主力建仓.MSD   	火焰主力建仓.风险区	火焰主力建仓.安全区	火焰主力建仓.天线  	火焰主力建仓.强弱线	火焰主力建仓.趋势值	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.火焰山	火焰主力建仓.火焰  	火焰主力建仓.今量  	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	火焰主力建仓.      	
 2015/09/14	   6.400	   6.400	   5.855	   5.855	        2725411	           	           	           	           	           	           	           	           	           	           	      0.000	     80.000	     20.000	    100.000	     50.000	     25.000	      0.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2015/09/15	   5.841	   5.841	   5.367	   5.505	        4975204	           	           	           	           	           	           	           	           	           	           	      6.680	     80.000	     20.000	    100.000	     50.000	     24.783	      0.000	      1.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2015/09/16	   5.505	   6.000	   5.505	   5.985	        4619550	           	           	           	           	           	           	           	           	           	           	     33.253	     80.000	     20.000	    100.000	     50.000	     25.054	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2015/09/17	   5.985	   6.225	   5.778	   5.924	        4102177	           	           	           	           	           	           	           	           	           	           	     43.587	     80.000	     20.000	    100.000	     50.000	     27.660	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2015/09/18	   5.944	   6.150	   5.944	   6.145	        3762679	      5.883	           	           	           	           	           	           	           	           	           	     59.451	     80.000	     20.000	    100.000	     50.000	     31.672	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2015/09/21	   6.270	   6.350	   5.925	   6.300	        1745220	      5.972	           	           	           	           	           	           	           	           	           	     74.885	     80.000	     20.000	    100.000	     50.000	     36.900	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
 2015/09/22	   6.348	   6.374	   6.260	   6.333	        2369472	      6.137	           	           	           	           	           	           	           	           	           	     84.200	     80.000	     20.000	    100.000	     50.000	     43.058	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2015/09/23	   6.338	   6.338	   6.025	   6.120	         215232	      6.164	           	           	           	           	           	           	           	           	           	     78.547	     80.000	     20.000	    100.000	     50.000	     49.014	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2015/09/24	   6.263	   6.263	   6.110	   6.170	         446034	      6.214	           	           	           	           	           	           	           	           	           	     78.141	     80.000	     20.000	    100.000	     50.000	     53.358	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      0.000	
 2015/09/25	   6.023	   6.194	   5.927	   6.037	         103666	      6.192	      6.037	           	           	           	           	           	           	           	           	     71.500	     80.000	     20.000	    100.000	     50.000	     56.599	      1.000	      0.000	           	      0.000	           	      0.000	      0.000	      0.000	      0.000	      0.000	      1.000	
